split,field,unit,count,mean,std,min,50%,75%,90%,95%,99%,max
train,statement,char,5062.0,161.25128407743975,68.10804259878358,30.0,151.0,196.0,243.0,280.0,375.78000000000065,739.0
train,statement,whitespace_token,5062.0,35.83741604109048,14.96292720544965,7.0,34.0,43.0,54.0,62.0,84.0,165.0
train,context,char,5062.0,3177.5956143816675,1722.1486295431164,314.0,2840.0,3957.0,5406.0,6186.0,9449.0,16369.0
train,context,whitespace_token,5062.0,693.1592256025286,374.9620215673776,71.0,608.0,865.0,1177.0,1337.0,2074.0,3602.0
train,evidence,char,5062.0,196.61694982220467,101.91665902792631,6.0,178.0,239.75,323.0,383.0,540.5600000000013,1205.0
train,evidence,whitespace_token,5062.0,43.34828131173449,22.240716545238502,2.0,39.0,53.0,71.0,85.0,119.0,259.0
dev,statement,char,723.0,160.10650069156293,71.02140443859443,42.0,151.0,194.0,243.80000000000007,281.9,383.3399999999999,672.0
dev,statement,whitespace_token,723.0,35.54910096818811,15.581125688552746,10.0,34.0,43.0,54.0,62.0,86.55999999999995,145.0
dev,context,char,723.0,3071.1300138312586,1558.7516774448898,314.0,2739.0,3881.5,5220.0,5923.699999999998,8189.239999999974,11436.0
dev,context,whitespace_token,723.0,670.1438450899032,339.2898666759179,71.0,597.0,846.0,1147.6000000000004,1297.9999999999995,1787.519999999995,2534.0
dev,evidence,char,723.0,196.417704011065,100.85629125983115,9.0,180.0,243.0,326.80000000000007,382.0,517.4599999999998,931.0
dev,evidence,whitespace_token,723.0,43.30843706777317,22.089474892275355,2.0,40.0,53.0,71.80000000000007,82.89999999999998,112.0,201.0
test,statement,char,1447.0,161.24118866620594,66.17206303350606,29.0,153.0,195.5,240.0,274.4000000000001,377.53999999999996,610.0
test,statement,whitespace_token,1447.0,35.79198341395992,14.52322952092843,7.0,34.0,43.0,53.0,61.0,81.53999999999996,135.0
test,context,char,1447.0,3160.1285418106427,1723.1416441858576,314.0,2824.0,3936.0,5220.0,5905.900000000004,9186.339999999978,16369.0
test,context,whitespace_token,1447.0,690.5065653075328,376.75376141599344,71.0,608.0,865.0,1160.0,1290.0,2002.2399999999943,3602.0
test,evidence,char,1447.0,196.43538355217692,100.89259900575968,22.0,176.0,236.0,318.0,381.70000000000005,558.9399999999996,1024.0
test,evidence,whitespace_token,1447.0,43.328265376641326,22.186077680374765,5.0,39.0,52.0,70.0,83.0,123.0,219.0
