claim_id,claim_index,claim,retrieved_evidence,bm25_score,rank,is_gold,label,gold_evidence,entity_match,number_match,date_match,fact_score,bm25_max,bm25_norm,rerank_score,bm25_rank,rerank_rank
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.",Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V.,56.3285,1,True,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite,1.0,0.5,0.0,0.6,56.3285,0.9999999822469979,0.88,1,1
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.","Trong số đó, có vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật vào tháng 4.1936 tại phòng Charlie Chaplin Suite.",51.378,2,True,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite,0.3333,0.5,0.0,0.3333,56.3285,0.9121137450471122,0.7385,2,2
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.","Swore Oath ở khách sạn Saigon Morin năm 2004 TL Trải qua nhiều giai đoạn lịch sử, đến nay, Saigon Morin là khách sạn 4 sao và đang nâng thành 5 sao theo hướng kiến trúc cổ điển độc đáo của miền Trung - Tây nguyên nhằm phát huy giá trị của một khách sạn lâu đời ở Việt Nam (122 năm tuổi), với hệ thống 180 phòng ngủ sang trọng, tiện nghi và hiện đại...",7.4638,3,False,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite,0.3333,0.5,0.0,0.3333,56.3285,0.1325048575320689,0.1927,3,3
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.","Phu nhân cựu Tổng thống Pháp, bà Bernadette Chirac, lưu trú tại khách sạn vào năm 2004 TL Không chỉ có những sản phẩm và dịch vụ chuyên nghiệp, Saigon Morin còn mang đến cho du khách những trải nghiệm thú vị về lịch sử 122 năm.",6.8516,4,False,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite,0.0,0.5,0.0,0.2,56.3285,0.12163646960887528,0.1451,4,4
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.","Saigon Morin, khách sạn 4 sao hàng đầu tại Huế, kỷ niệm 122 năm ra đời tối 26.3, là một trong những khách sạn lâu đời nhất Việt Nam với ""bảng vàng"" danh sách các yếu nhân và nguyên thủ quốc gia từng lưu trú.",5.2987,5,False,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite,0.0,0.5,0.0,0.2,56.3285,0.09406783255247642,0.1258,5,5
dev_5599,5599,"Nhiều chi bộ chỉ mua báo đảng mà không quan tâm đến việc đọc, nghiên cứu và áp dụng các nội dung của báo vào thực tiển nhưng việc công tác mua váo và đọc báo Đảng vẫn đạt hiệu quả cao.","Nhiều chi bộ mới chỉ dừng ở việc mua báo đảng, trong khi chưa thực sự quan tâm đến việc đọc, nghiên cứu, áp dụng nội dung báo, đảng vào việc lãnh đạo, chỉ đạo và hoạt động thực tiễn.",44.5533,1,True,1,"Việc mua, đọc, sử dụng báo, tạp chí của Đảng tại một số chi bộ, đảng bộ chưa đạt hiệu quả cao Nhiều chi bộ mới chỉ dừng ở việc mua báo đảng chưa thực sự quan tâm đến việc đọc, nghiên cứu, áp dụng nội dung báo, đảng thực tiễn.",0.5,0.5,0.5,0.5,44.5533,0.999999977554974,0.85,1,1
dev_5599,5599,"Nhiều chi bộ chỉ mua báo đảng mà không quan tâm đến việc đọc, nghiên cứu và áp dụng các nội dung của báo vào thực tiển nhưng việc công tác mua váo và đọc báo Đảng vẫn đạt hiệu quả cao.","Việc mua, đọc, sử dụng báo, tạp chí của Đảng tại một số chi bộ, đảng bộ chưa đạt hiệu quả cao.",26.8718,2,True,1,"Việc mua, đọc, sử dụng báo, tạp chí của Đảng tại một số chi bộ, đảng bộ chưa đạt hiệu quả cao Nhiều chi bộ mới chỉ dừng ở việc mua báo đảng chưa thực sự quan tâm đến việc đọc, nghiên cứu, áp dụng nội dung báo, đảng thực tiễn.",0.5,0.5,0.5,0.5,44.5533,0.6031382500704044,0.5722,2,2
dev_5599,5599,"Nhiều chi bộ chỉ mua báo đảng mà không quan tâm đến việc đọc, nghiên cứu và áp dụng các nội dung của báo vào thực tiển nhưng việc công tác mua váo và đọc báo Đảng vẫn đạt hiệu quả cao.","Theo ông Phan Nguyễn Như Khuê, để việc mua và đọc, làm theo báo, tạp chí của Đảng tại TPHCM tiếp tục đi vào chiều sâu, phát huy hiệu quả cụ thể, thực chất, thời gian tới, Đảng bộ Thành phố định hướng cấp ủy, người đứng đầu cấp ủy và các cơ quan, đơn vị cần nâng cao nhận thức về vai trò, ý nghĩa của việc mua, đọc, nghiên cứu báo, tạp chí của Đảng.",24.296,3,False,1,"Việc mua, đọc, sử dụng báo, tạp chí của Đảng tại một số chi bộ, đảng bộ chưa đạt hiệu quả cao Nhiều chi bộ mới chỉ dừng ở việc mua báo đảng chưa thực sự quan tâm đến việc đọc, nghiên cứu, áp dụng nội dung báo, đảng thực tiễn.",0.5,0.5,0.5,0.5,44.5533,0.5453243520609169,0.5317,3,3
dev_5599,5599,"Nhiều chi bộ chỉ mua báo đảng mà không quan tâm đến việc đọc, nghiên cứu và áp dụng các nội dung của báo vào thực tiển nhưng việc công tác mua váo và đọc báo Đảng vẫn đạt hiệu quả cao.","Một số tổ chức đảng chưa được quán triệt công tác mua và đọc báo, tạp chí của Đảng, chưa nhận thức đầy đủ về Chỉ thị 11 nên còn lúng túng trong công tác mua báo, tạp chí của Đảng, sử dụng kinh phí mua nhiều loại báo không đúng theo Chỉ thị.",21.7675,4,False,1,"Việc mua, đọc, sử dụng báo, tạp chí của Đảng tại một số chi bộ, đảng bộ chưa đạt hiệu quả cao Nhiều chi bộ mới chỉ dừng ở việc mua báo đảng chưa thực sự quan tâm đến việc đọc, nghiên cứu, áp dụng nội dung báo, đảng thực tiễn.",0.5,0.5,0.5,0.5,44.5533,0.4885721037819397,0.492,4,4
dev_5599,5599,"Nhiều chi bộ chỉ mua báo đảng mà không quan tâm đến việc đọc, nghiên cứu và áp dụng các nội dung của báo vào thực tiển nhưng việc công tác mua váo và đọc báo Đảng vẫn đạt hiệu quả cao.","Tổng Biên tập Báo Nhân dân Lê Quốc Minh trình bày báo cáo về việc thực hiện Chỉ thị 11 của Bộ Chính trị về việc mua, đọc, làm theo báo, tạp chí của Đảng - Ảnh: VGP/Vũ Phong Cũng theo ông Lê Quốc Minh, sau 3 năm triển khai thực hiện Thông báo Kết luận 173 của Ban Bí thư về tiếp tục thực hiện Chỉ thị số 11 của Bộ Chính trị khóa VIII về mua và đọc báo, tạp chí của Đảng, các tỉnh ủy, thành ủy, các cơ quan Trung ương đã có văn bản chỉ đạo các cấp, các ngành tại địa phương, đơn vị quán triệt, triển khai thực hiện công tác mua và đọc báo, tạp chí của Đảng.",19.3907,5,False,1,"Việc mua, đọc, sử dụng báo, tạp chí của Đảng tại một số chi bộ, đảng bộ chưa đạt hiệu quả cao Nhiều chi bộ mới chỉ dừng ở việc mua báo đảng chưa thực sự quan tâm đến việc đọc, nghiên cứu, áp dụng nội dung báo, đảng thực tiễn.",0.5,0.5,0.5,0.5,44.5533,0.4352247659494411,0.4547,5,5
